Data-Hora, temp. interna, temp. externa, temp. ref., Resist./Vent. (%)
 24/1/2023-3:49:3, 36.125000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:4, 36.125000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:5, 36.125000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:6, 36.125000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:7, 36.187500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:8, 36.187500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:9, 36.187500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:10, 36.187500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:11, 36.187500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:12, 36.250000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:13, 36.250000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:14, 36.250000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:15, 36.250000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:16, 36.250000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:17, 36.250000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:18, 36.312500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:19, 36.312500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:20, 36.312500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:21, 36.312500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:22, 36.312500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:23, 36.312500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:24, 36.312500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:25, 36.312500, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:26, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:27, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:28, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:29, 36.375000, 0.000000, 25.000000, -100.000000 %
 24/1/2023-3:49:30, 36.375000, 0.000000, 25.000000, -100.000000 %
